"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "wxml", "Less", "comment", "blank", "total"
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.less", "Less", 0, 0, 0, 0, 0, 65, 0, 0, 65
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.wxml", "wxml", 0, 0, 0, 0, 28, 0, 0, 0, 28
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.wxss", "CSS", 0, 57, 0, 0, 0, 0, 0, 1, 58
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.js", "JavaScript", 54, 0, 0, 0, 0, 0, 21, 0, 75
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.wxml", "wxml", 0, 0, 0, 0, 6, 0, 1, 0, 7
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.wxss", "CSS", 0, 19, 0, 0, 0, 0, 1, 0, 20
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.js", "JavaScript", 45, 0, 0, 0, 0, 0, 3, 6, 54
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.wxml", "wxml", 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.wxss", "CSS", 0, 73, 0, 0, 0, 0, 0, 11, 84
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.js", "JavaScript", 39, 0, 0, 0, 0, 0, 3, 5, 47
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.wxml", "wxml", 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.wxss", "CSS", 0, 64, 0, 0, 0, 0, 0, 10, 74
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.js", "JavaScript", 41, 0, 0, 0, 0, 0, 3, 5, 49
"c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
